id,isResult,h,a,goals,xG,datetime,forecast
235,True,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'h': '0', 'a': '0'}","{'h': '1.13181', 'a': '1.87239'}",2015-12-12 19:00:00,"{'w': '0.1888', 'd': '0.2353', 'l': '0.5759'}"
236,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '1'}","{'h': '1.05032', 'a': '1.96768'}",2015-12-12 21:30:00,"{'w': '0.1405', 'd': '0.2388', 'l': '0.6207'}"
237,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '2'}","{'h': '1.00876', 'a': '1.68498'}",2015-12-13 17:30:00,"{'w': '0.1716', 'd': '0.2615', 'l': '0.5669'}"
238,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '2', 'a': '2'}","{'h': '2.12583', 'a': '0.835885'}",2015-12-13 20:00:00,"{'w': '0.6992', 'd': '0.2027', 'l': '0.0981'}"
239,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': '1', 'a': '2'}","{'h': '1.03317', 'a': '1.55252'}",2015-12-13 20:00:00,"{'w': '0.1837', 'd': '0.2912', 'l': '0.5251'}"
240,True,"{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': '2', 'a': '1'}","{'h': '0.708846', 'a': '2.26887'}",2015-12-15 00:00:00,"{'w': '0.0526', 'd': '0.1514', 'l': '0.796'}"
241,True,"{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '1', 'a': '2'}","{'h': '0.698255', 'a': '1.89177'}",2015-12-19 19:00:00,"{'w': '0.0774', 'd': '0.2036', 'l': '0.719'}"
242,True,"{'id': '74', 'title': 'Southampton', 'short_title': 'SOU'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '0', 'a': '2'}","{'h': '0.83385', 'a': '1.47453'}",2015-12-19 19:00:00,"{'w': '0.178', 'd': '0.2709', 'l': '0.5511'}"
243,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '2'}","{'h': '2.41499', 'a': '1.95347'}",2015-12-19 19:00:00,"{'w': '0.4761', 'd': '0.2468', 'l': '0.2771'}"
244,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '3', 'a': '1'}","{'h': '3.02023', 'a': '1.23573'}",2015-12-19 19:00:00,"{'w': '0.8122', 'd': '0.1333', 'l': '0.0545'}"
245,True,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '2', 'a': '3'}","{'h': '1.48982', 'a': '2.02911'}",2015-12-19 19:00:00,"{'w': '0.1942', 'd': '0.2849', 'l': '0.5209'}"
246,True,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '1', 'a': '2'}","{'h': '1.01394', 'a': '0.556897'}",2015-12-19 19:00:00,"{'w': '0.4673', 'd': '0.3409', 'l': '0.1918'}"
247,True,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '1'}","{'h': '1.28189', 'a': '0.404373'}",2015-12-19 21:30:00,"{'w': '0.6335', 'd': '0.2673', 'l': '0.0992'}"
248,True,"{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'h': '3', 'a': '0'}","{'h': '1.99336', 'a': '0.376313'}",2015-12-20 17:30:00,"{'w': '0.8673', 'd': '0.104', 'l': '0.0287'}"
249,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '0', 'a': '0'}","{'h': '0.973378', 'a': '0.401988'}",2015-12-20 20:00:00,"{'w': '0.4913', 'd': '0.358', 'l': '0.1507'}"
250,True,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '2', 'a': '1'}","{'h': '1.50109', 'a': '0.769378'}",2015-12-22 00:00:00,"{'w': '0.5799', 'd': '0.261', 'l': '0.1591'}"
251,True,"{'id': '85', 'title': 'Stoke', 'short_title': 'STO'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': '2', 'a': '0'}","{'h': '1.18211', 'a': '1.28961'}",2015-12-26 16:45:00,"{'w': '0.3096', 'd': '0.311', 'l': '0.3794'}"
252,True,"{'id': '84', 'title': 'Swansea', 'short_title': 'SWA'}","{'id': '76', 'title': 'West Bromwich Albion', 'short_title': 'WBA'}","{'h': '1', 'a': '0'}","{'h': '1.21243', 'a': '0.554583'}",2015-12-26 19:00:00,"{'w': '0.6207', 'd': '0.2896', 'l': '0.0897'}"
253,True,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '79', 'title': 'Norwich', 'short_title': 'NOR'}","{'h': '3', 'a': '0'}","{'h': '2.40666', 'a': '0.452019'}",2015-12-26 19:00:00,"{'w': '0.8655', 'd': '0.1065', 'l': '0.028'}"
254,True,"{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '1', 'a': '1'}","{'h': '1.61235', 'a': '0.836027'}",2015-12-26 19:00:00,"{'w': '0.5853', 'd': '0.2727', 'l': '0.142'}"
255,True,"{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '0', 'a': '0'}","{'h': '0.871395', 'a': '0.405181'}",2015-12-26 19:00:00,"{'w': '0.4664', 'd': '0.3836', 'l': '0.15'}"
256,True,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '90', 'title': 'Watford', 'short_title': 'WAT'}","{'h': '2', 'a': '2'}","{'h': '2.09356', 'a': '1.667'}",2015-12-26 19:00:00,"{'w': '0.4647', 'd': '0.2681', 'l': '0.2672'}"
257,True,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '75', 'title': 'Leicester', 'short_title': 'LEI'}","{'h': '1', 'a': '0'}","{'h': '1.37933', 'a': '0.505167'}",2015-12-26 19:00:00,"{'w': '0.6019', 'd': '0.2772', 'l': '0.1209'}"
258,True,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': '4', 'a': '1'}","{'h': '3.51848', 'a': '1.08103'}",2015-12-26 19:00:00,"{'w': '0.898', 'd': '0.076', 'l': '0.026'}"
